program,unit,unit_status,unit_week_start,unit_week_end,title,description,task_type,priority,sequence_order,estimated_minutes,xp_reward,is_boss_fight,medium,dependency_mode,day_of_week_hint,resource_url,workbook_pages,ufa_eligible,ufa_hours_credit,source_key
Tuttle Twins,TT Vol 1,active,1,11,TT Vol 1 Ch 1,,reading,core,1,20,10,no,offline,teacher_led,,https://tuttletwins.com/,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 1),,project,core,2,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 2,,reading,core,3,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 2),,project,core,4,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 3,,reading,core,5,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 3),,project,core,6,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 4,,reading,core,7,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 4),,project,core,8,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 5,,reading,core,9,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 5),,project,core,10,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 6,,reading,core,11,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 6),,project,core,12,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 7,,reading,core,13,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 7),,project,core,14,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 8,,reading,core,15,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 8),,project,core,16,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 9,,reading,core,17,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 9),,project,core,18,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 10,,reading,core,19,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 10),,project,core,20,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,TT Vol 1 Ch 11,,reading,core,21,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 1,active,,,Tuttle Twins Civics & Discussion (TT Vol 1 Ch 11),,project,core,22,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,12,22,TT Vol 2 Ch 1,,reading,core,1,20,10,no,offline,teacher_led,,https://tuttletwins.com/,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 1),,project,core,2,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 2,,reading,core,3,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 2),,project,core,4,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 3,,reading,core,5,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 3),,project,core,6,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 4,,reading,core,7,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 4),,project,core,8,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 5,,reading,core,9,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 5),,project,core,10,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 6,,reading,core,11,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 6),,project,core,12,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 7,,reading,core,13,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 7),,project,core,14,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 8,,reading,core,15,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 8),,project,core,16,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 9,,reading,core,17,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 9),,project,core,18,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 10,,reading,core,19,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 10),,project,core,20,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,TT Vol 2 Ch 11,,reading,core,21,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 2,planned,,,Tuttle Twins Civics & Discussion (TT Vol 2 Ch 11),,project,core,22,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,23,33,TT Vol 3 Ch 1,,reading,core,1,20,10,no,offline,teacher_led,,https://tuttletwins.com/,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 1),,project,core,2,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 2,,reading,core,3,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 2),,project,core,4,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 3,,reading,core,5,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 3),,project,core,6,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 4,,reading,core,7,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 4),,project,core,8,20,10,no,offline,teacher_led,,,,yes,0.25,
